NAME,B08303_001E,B08303_004E,B08303_005E,B08303_006E,B08303_007E,B08303_008E,state,county
"Lewis County, Kentucky",3573,259,249,407,184,610,21,135
"Lincoln County, Kentucky",8842,1166,1026,1263,944,868,21,137
"Livingston County, Kentucky",3568,163,431,647,325,467,21,139
"Logan County, Kentucky",10729,1359,1081,1453,611,1638,21,141
"Lyon County, Kentucky",2865,634,629,244,131,312,21,143
"McCracken County, Kentucky",27590,8776,5568,3379,1091,1594,21,145
"McCreary County, Kentucky",4709,566,798,280,82,599,21,147
"Madison County, Kentucky",39531,7446,5816,3527,2050,4502,21,151
"Marion County, Kentucky",6871,1301,1286,709,297,629,21,155
"Marshall County, Kentucky",12503,1939,2137,2170,881,1399,21,157
"Mason County, Kentucky",6885,1033,1430,1066,287,514,21,161
"Meade County, Kentucky",12624,1426,1658,1343,384,1328,21,163
"Mercer County, Kentucky",8965,1494,1139,877,500,759,21,167
"Metcalfe County, Kentucky",4009,571,438,881,427,360,21,169
"Montgomery County, Kentucky",11428,2300,1468,1175,407,794,21,173
"Morgan County, Kentucky",3720,599,504,318,117,447,21,175
"Nelson County, Kentucky",20716,2989,2830,2130,812,1687,21,179
"Nicholas County, Kentucky",2783,143,87,442,164,346,21,181
"Oldham County, Kentucky",28377,2760,2529,4065,2966,6334,21,185
"Owen County, Kentucky",4242,316,391,294,213,502,21,187
"Pendleton County, Kentucky",6244,500,591,447,102,805,21,191
"Pike County, Kentucky",18150,3328,2990,2333,1176,2088,21,195
"Powell County, Kentucky",4599,883,385,369,188,514,21,197
"Robertson County, Kentucky",769,68,16,32,53,195,21,201
"Rockcastle County, Kentucky",5869,789,898,804,236,525,21,203
"Russell County, Kentucky",6897,1477,806,576,341,812,21,207
"Scott County, Kentucky",26194,4397,4860,3684,1681,4134,21,209
"Simpson County, Kentucky",7451,1609,1339,1025,358,773,21,213
"Spencer County, Kentucky",8942,599,518,814,600,1431,21,215
"Todd County, Kentucky",4593,578,506,757,612,728,21,219
"Trimble County, Kentucky",3435,289,495,605,176,553,21,223
"Union County, Kentucky",6198,947,701,754,207,682,21,225
"Washington County, Kentucky",5322,604,756,516,330,578,21,229
"Wayne County, Kentucky",6943,980,967,639,465,905,21,231
"Whitley County, Kentucky",12182,1903,2056,1598,732,1907,21,235
"Wolfe County, Kentucky",1478,187,88,249,37,126,21,237
"Allen County, Kentucky",7872,929,944,948,603,1189,21,003
"Adair County, Kentucky",6947,827,971,735,695,876,21,001
"Anderson County, Kentucky",9767,805,1040,1365,788,1582,21,005
"Ballard County, Kentucky",3061,563,613,377,282,266,21,007
"Bath County, Kentucky",4348,369,619,726,387,748,21,011
"Bell County, Kentucky",6963,702,925,745,205,1088,21,013
"Bourbon County, Kentucky",8570,855,975,991,798,1439,21,017
"Boyd County, Kentucky",17333,3448,3288,2787,975,1745,21,019
"Bracken County, Kentucky",3393,146,392,418,177,342,21,023
"Breckinridge County, Kentucky",6984,756,772,651,363,665,21,027
"Bullitt County, Kentucky",37937,3518,3856,5357,3223,8515,21,029
"Caldwell County, Kentucky",4895,967,709,538,90,380,21,033
"Calloway County, Kentucky",17220,3816,2606,1406,664,1112,21,035
"Carlisle County, Kentucky",1630,228,200,228,122,246,21,039
"Carroll County, Kentucky",4300,694,697,513,210,390,21,041
"Casey County, Kentucky",5095,442,924,751,242,459,21,045
"Christian County, Kentucky",30083,6749,4366,3632,1185,2290,21,047
"Clay County, Kentucky",5248,584,504,452,329,680,21,051
"Clinton County, Kentucky",3561,650,725,398,211,415,21,053
"Cumberland County, Kentucky",2262,397,411,260,97,318,21,057
"Daviess County, Kentucky",44345,10749,9003,5365,1469,2619,21,059
"Elliott County, Kentucky",1697,104,73,102,76,240,21,063
"Fayette County, Kentucky",153827,26196,34791,30596,10139,16067,21,067
"Fleming County, Kentucky",5150,704,695,600,319,533,21,069
"Franklin County, Kentucky",21865,4780,5084,1865,1145,1613,21,073
"Fulton County, Kentucky",2048,438,273,337,98,166,21,075
"Garrard County, Kentucky",7150,430,661,656,606,976,21,079
"Grant County, Kentucky",10700,1171,1214,1359,652,1752,21,081
"Grayson County, Kentucky",10225,1852,1592,1162,476,734,21,085
"Green County, Kentucky",3795,292,771,352,281,582,21,087
"Hancock County, Kentucky",3599,479,629,495,300,430,21,091
"Hardin County, Kentucky",47873,8874,8528,6437,2328,4996,21,093
"Harrison County, Kentucky",8013,1175,810,1048,312,834,21,097
"Henderson County, Kentucky",19294,3255,2782,3465,1415,2084,21,101
"Henry County, Kentucky",6469,539,710,1026,516,949,21,103
"Hickman County, Kentucky",1511,165,385,259,63,153,21,105
"Hopkins County, Kentucky",17963,3879,2739,2210,709,1621,21,107
"Jackson County, Kentucky",3830,395,225,362,84,725,21,109
"Jefferson County, Kentucky",352043,47170,69079,74271,34086,50649,21,111
"Jessamine County, Kentucky",22920,2939,2953,3201,2463,3782,21,113
"Johnson County, Kentucky",6370,905,1072,1221,370,689,21,115
"Kenton County, Kentucky",80603,10664,17261,14565,6156,10730,21,117
"Knott County, Kentucky",4160,506,714,295,274,685,21,119
"Knox County, Kentucky",9136,1524,1399,1164,324,1604,21,121
"Larue County, Kentucky",6109,622,431,1113,657,966,21,123
"Laurel County, Kentucky",22634,4380,4658,3454,1269,2468,21,125
"Lawrence County, Kentucky",4355,478,413,371,192,651,21,127
"Lee County, Kentucky",1998,130,174,252,44,163,21,129
"Leslie County, Kentucky",3136,200,372,229,350,328,21,131
"Letcher County, Kentucky",6888,806,1194,666,262,632,21,133
"Boone County, Kentucky",60972,8471,11712,10941,4386,7598,21,015
"Boyle County, Kentucky",11300,2524,1918,1091,362,623,21,021
"Breathitt County, Kentucky",3756,415,511,409,161,439,21,025
"Butler County, Kentucky",4810,575,846,411,258,755,21,031
"Campbell County, Kentucky",43298,6081,6587,7584,4033,5843,21,037
"Carter County, Kentucky",8409,820,850,662,423,1429,21,043
